seed,condition,base_LZc,base_Integ,cond_LZc,cond_Integ,dLZc_pct,dInteg_pct
1,LSD,0.9718,0.0093,1.0173,0.0059,4.69,-36.4
1,N2O,0.9718,0.0093,0.9249,0.008,-4.82,-14.7
1,COMBO,0.9718,0.0093,0.9718,0.0054,0.0,-42.3
2,LSD,0.9604,0.0067,1.0085,0.0027,5.02,-59.0
2,N2O,0.9604,0.0067,0.9174,0.0058,-4.47,-13.5
2,COMBO,0.9604,0.0067,0.9685,0.0022,0.85,-66.7
3,LSD,0.9584,0.0116,1.0111,0.0059,5.5,-49.1
3,N2O,0.9584,0.0116,0.9207,0.0106,-3.94,-8.5
3,COMBO,0.9584,0.0116,0.9718,0.0053,1.39,-54.3
4,LSD,0.9522,0.0059,1.0111,0.0019,6.19,-66.7
4,N2O,0.9522,0.0059,0.9057,0.0045,-4.89,-23.5
4,COMBO,0.9522,0.0059,0.9571,0.0014,0.51,-75.7
5,LSD,0.9568,0.0056,1.0082,0.0032,5.37,-41.9
5,N2O,0.9568,0.0056,0.9109,0.0045,-4.8,-19.4
5,COMBO,0.9568,0.0056,0.9659,0.0024,0.95,-56.9
6,LSD,0.9623,0.0065,1.0144,0.005,5.41,-23.1
6,N2O,0.9623,0.0065,0.9177,0.0046,-4.63,-29.5
6,COMBO,0.9623,0.0065,0.9783,0.0039,1.66,-40.3
